Year,UserID,ISBN,Title,Publisher,Quantity,OrderedID,ShippmentDate,State,ShipmentTo,Zipcod
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2176,"01-05-2025 0.00","Andhra Pradesh",Warangal,506007
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2196,"01-05-2025 0.00","Andhra Pradesh",Adilabad,504001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2231,"01-05-2025 0.00","Andhra Pradesh",Moinabad,501504
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2235,"01-05-2025 0.00","Andhra Pradesh",Srikakulam,521132
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-2255,"01-05-2025 0.00",Chhattisgarh,Puri,493663
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-2260,"01-05-2025 0.00",DELHI,"West Delhi",110018
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-2272,"01-05-2025 0.00",DELHI,"North Delhi",110015
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2327,"01-05-2025 0.00",DELHI,"West Delhi",110015
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2330,"01-05-2025 0.00",GUJARAT,RAJKOT,360002
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2332,"01-05-2025 0.00",Gujarat,Indore,393120
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-2342,"01-05-2025 0.00",Gujarat,Indore,393120
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-2349,"01-05-2025 0.00",Gujarat,Sitapur,382130
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2354,"01-05-2025 0.00",Gujarat,Indore,393120
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2377,"01-05-2025 0.00",Karnataka,Mysore,570001
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-2413,"01-05-2025 0.00",Kerala,Calicut,673007
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2421,"01-05-2025 0.00","Madhya Pradesh",Beed,484113
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-2422,"01-05-2025 0.00",Gujarat,Surat,395004
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-2428,"01-05-2025 0.00",Rajasthan,Churu,331001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2435,"01-05-2025 0.00","Madhya Pradesh",Vidisha,464001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2494,"01-05-2025 0.00",Maharashtra,Ahmednagar,414001
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-2500,"01-05-2025 0.00",Punjab,Muktsar,152026
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2514,"01-05-2025 0.00",Rajasthan,Karwar,323613
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-2521,"01-05-2025 0.00","TAMIL NADU",CHENNAI,600078
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2527,"01-06-2025 0.00",Bihar,Patna,756021
2025,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2025-01-2530,"01-06-2025 0.00",Bihar,Muzaffarpur,842001
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-2537,"01-06-2025 0.00",DELHI,"West Delhi",110022
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-2560,"01-06-2025 0.00",DELHI,"East Delhi",110032
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2575,"01-06-2025 0.00",Gujarat,Kachchh,370001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2576,"01-06-2025 0.00",Gujarat,"Vallabh Vidyanagar",388120
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-2596,"01-06-2025 0.00",Gujarat,Surat,395003
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2628,"01-06-2025 0.00",Karnataka,Tumkur,585355
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2632,"01-06-2025 0.00",Karnataka,Raichur,584101
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-2662,"01-06-2025 0.00",KERALA,KOZHIKODE,673011
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-2672,"01-06-2025 0.00",Kerala,Palakkad,678008
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2673,"01-06-2025 0.00","MADHYA PRADESH",HATOD,453111
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-2708,"01-06-2025 0.00",Orissa,Mayurbhanj,757001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2713,"01-06-2025 0.00",Punjab,Gurdaspur,143526
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-2719,"01-06-2025 0.00",Rajasthan,Sikar,332001
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-2726,"01-06-2025 0.00",Sikkim,"North Sikkim",737116
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2743,"01-06-2025 0.00","Tamil Nadu",Tiruvannamalai,606601
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2752,"01-06-2025 0.00",Uttarakhand,Pauri,246001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2755,"01-07-2025 0.00","Andhra Pradesh",Siddipet,502110
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-2757,"01-07-2025 0.00","Andhra Pradesh",Siddipet,502103
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2766,"01-07-2025 0.00","Andhra Pradesh",Vijayawada,520001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2782,"01-07-2025 0.00",Chhattisgarh,Puri,493663
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2792,"01-07-2025 0.00",Delhi,"New Delhi",110001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2816,"01-07-2025 0.00",Gujarat,Vadodara,382355
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-2825,"01-07-2025 0.00",Gujarat,Indore,393120
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-2840,"01-07-2025 0.00",HARYANA,FARIDABAD,121002
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2845,"01-07-2025 0.00",Karnataka,Mangalore,575001
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-2876,"01-07-2025 0.00","Madhya Pradesh",Delhi,486446
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2880,"01-07-2025 0.00","Madhya Pradesh",Bhopal,462004
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2883,"01-07-2025 0.00","Madhya Pradesh",Delhi,486441
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-2911,"01-07-2025 0.00",Punjab,Patti,143416
